local,marcador,ronda,temporada,visitante
Burnley,3 - 3,12,2021/2022,Crystal Palace
Newcastle,3 - 3,12,2021/2022,Brentford
Norwich,2 - 1,12,2021/2022,Southampton
Watford,4 - 1,12,2021/2022,Man United
Wolves,1 - 0,12,2021/2022,West Ham
Liverpool,4 - 0,12,2021/2022,Arsenal
Man City,3 - 0,12,2021/2022,Everton
Tottenham,2 - 1,12,2021/2022,Leeds
Arsenal,2 - 0,13,2021/2022,Newcastle
Crystal Palace,1 - 2,13,2021/2022,Aston Villa
Liverpool,4 - 0,13,2021/2022,Southampton
Norwich,0 - 0,13,2021/2022,Wolves
Brighton,0 - 0,13,2021/2022,Leeds
Brentford,1 - 0,13,2021/2022,Everton
Leicester,4 - 2,13,2021/2022,Watford
Man City,2 - 1,13,2021/2022,West Ham
Chelsea,1 - 1,13,2021/2022,Man United
Newcastle,1 - 1,14,2021/2022,Norwich
Leeds,1 - 0,14,2021/2022,Crystal Palace
Southampton,2 - 2,14,2021/2022,Leicester
Watford,1 - 2,14,2021/2022,Chelsea
West Ham,1 - 1,14,2021/2022,Brighton
Wolves,0 - 0,14,2021/2022,Burnley
Aston Villa,1 - 2,14,2021/2022,Man City
Everton,1 - 4,14,2021/2022,Liverpool
Tottenham,2 - 0,14,2021/2022,Brentford
Man United,3 - 2,14,2021/2022,Arsenal
West Ham,3 - 2,15,2021/2022,Chelsea
Newcastle,1 - 0,15,2021/2022,Burnley
Southampton,1 - 1,15,2021/2022,Brighton
Wolves,0 - 1,15,2021/2022,Liverpool
Watford,1 - 3,15,2021/2022,Man City
Leeds,2 - 2,15,2021/2022,Brentford
Man United,1 - 0,15,2021/2022,Crystal Palace
Tottenham,3 - 0,15,2021/2022,Norwich
Aston Villa,2 - 1,15,2021/2022,Leicester
Everton,2 - 1,15,2021/2022,Arsenal
Brentford,2 - 1,16,2021/2022,Watford
Man City,1 - 0,16,2021/2022,Wolves
Arsenal,3 - 0,16,2021/2022,Southampton
Chelsea,3 - 2,16,2021/2022,Leeds
Liverpool,1 - 0,16,2021/2022,Aston Villa
Norwich,0 - 1,16,2021/2022,Man United
Burnley,0 - 0,16,2021/2022,West Ham
Leicester,4 - 0,16,2021/2022,Newcastle
Crystal Palace,3 - 1,16,2021/2022,Everton
Norwich,0 - 2,17,2021/2022,Aston Villa
Man City,7 - 0,17,2021/2022,Leeds
Brighton,0 - 1,17,2021/2022,Wolves
Crystal Palace,2 - 2,17,2021/2022,Southampton
Arsenal,2 - 0,17,2021/2022,West Ham
Chelsea,1 - 1,17,2021/2022,Everton
Liverpool,3 - 1,17,2021/2022,Newcastle
Leeds,1 - 4,18,2021/2022,Arsenal
Newcastle,0 - 4,18,2021/2022,Man City
Wolves,0 - 0,18,2021/2022,Chelsea
Tottenham,2 - 2,18,2021/2022,Liverpool
Man City,6 - 3,19,2021/2022,Leicester
